numero_conta_pagadora,agencia_conta_pagadora,numero_conta_recebedora,agencia_conta_recebedora,valor,método,data
12345-1,001,23456-2,002,5967.93,TED,08/04/2025
12345-1,001,34567-3,003,3952.04,TED,07/04/2025
12345-1,001,45678-4,004,3135.54,PIX,07/04/2025
12345-1,001,56789-5,005,5383.63,Débito,07/04/2025
23456-2,002,12345-1,001,5460.89,PIX,07/04/2025
23456-2,002,34567-3,003,5063.76,Débito,08/04/2025
23456-2,002,45678-4,004,3710.04,TED,08/04/2025
23456-2,002,56789-5,005,7449.19,TED,08/04/2025
34567-3,003,12345-1,001,3774.83,PIX,07/04/2025
34567-3,003,23456-2,002,5845.8,TED,08/04/2025
34567-3,003,45678-4,004,2708.04,PIX,08/04/2025
34567-3,003,56789-5,005,5985.9,Débito,07/04/2025
45678-4,004,12345-1,001,6515.96,Débito,08/04/2025
45678-4,004,23456-2,002,8013.86,Débito,08/04/2025
45678-4,004,34567-3,003,6314.87,TED,07/04/2025
45678-4,004,56789-5,005,7898.09,Débito,08/04/2025
56789-5,005,12345-1,001,6905.2,PIX,08/04/2025
56789-5,005,23456-2,002,9645.54,TED,08/04/2025
56789-5,005,34567-3,003,6175.94,PIX,07/04/2025
56789-5,005,45678-4,004,4842.65,TED,08/04/2025
